ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
25,ปริญญาเอก แบบ 2 ต้องได้รับอนุมัติหัวข้อกี่วันถึงสอบความก้าวหน้าได้?,ไม่น้อยกว่า 183 วัน,"สอบความก้าวหน้า, ปริญญาเอก แบบ 2, 183 วัน","สอบก้าวหน้า, ป.เอก",บทที่ 1 หน้า 2
26,การสอบความก้าวหน้าวิทยานิพนธ์ใช้แบบฟอร์มอะไร?,ใช้คำร้อง บว.04 พร้อมโครงการย่อ บว.53,"แบบฟอร์มสอบความก้าวหน้า, บว.04, บว.53","ฟอม, สอบก้าวหน้า",บทที่ 1 หน้า 2
27,ต้องรายงานผลสอบความก้าวหน้าภายในกี่วัน?,ภายใน 1 สัปดาห์นับจากวันสอบ,"รายงานผลสอบความก้าวหน้า, รายงานผล",แจ้งผลสอบ,บทที่ 1 หน้า 2
28,ปริญญาโท แผน ก 1 ต้องใช้เวลาทำวิทยานิพนธ์กี่วันถึงขอสอบป้องกันได้?,ไม่น้อยกว่า 240 วัน,"สอบป้องกัน, ปริญญาโท แผน ก 1, 240 วัน","สอบจบ, ป.โท",บทที่ 1 หน้า 3
29,ปริญญาโท แผน ก 2 ต้องใช้เวลาทำวิทยานิพนธ์กี่วันถึงขอสอบป้องกันได้?,ไม่น้อยกว่า 120 วัน,"สอบป้องกัน, ปริญญาโท แผน ก 2, 120 วัน","สอบจบ, ป.โท",บทที่ 1 หน้า 3
30,ปริญญาเอก แบบ 1 ต้องใช้เวลาทำวิทยานิพนธ์กี่วันถึงขอสอบป้องกันได้?,ไม่น้อยกว่า 730 วัน,"สอบป้องกัน, ปริญญาเอก แบบ 1, 730 วัน","สอบจบ, ป.เอก",บทที่ 1 หน้า 3
31,ปริญญาเอก แบบ 2 ต้องใช้เวลาทำวิทยานิพนธ์กี่วันถึงขอสอบป้องกันได้?,ไม่น้อยกว่า 365 วัน,"สอบป้องกัน, ปริญญาเอก แบบ 2, 365 วัน","สอบจบ, ป.เอก",บทที่ 1 หน้า 3
32,ต้องผ่านการสอบความก้าวหน้ามากี่วันถึงมีสิทธิ์สอบป้องกัน?,ไม่น้อยกว่า 30 วัน,"ระยะเวลาสอบป้องกัน, หลังสอบความก้าวหน้า",สอบจบ,บทที่ 1 หน้า 3
33,เกรดเฉลี่ยสะสมขั้นต่ำก่อนสอบป้องกันวิทยานิพนธ์คือเท่าไหร่?,ไม่ต่ำกว่า 3.00,"เกรดเฉลี่ยสอบป้องกัน, GPA, เกรดจบ",เกรดเฉลีย,บทที่ 1 หน้า 3
34,การขอสอบป้องกันวิทยานิพนธ์ใช้แบบฟอร์มอะไรบ้าง?,"ใช้ บว.05, บว.28, บว.53, บว.54 พร้อมวิทยานิพนธ์ฉบับสอบ","แบบฟอร์มสอบป้องกัน, บว.05, สอบจบ",ฟอม,บทที่ 1 หน้า 3
35,ต้องส่งผลสอบป้องกันวิทยานิพนธ์ภายในกี่วัน?,ภายใน 1 สัปดาห์นับจากวันสอบ,"รายงานผลสอบป้องกัน, แจ้งผลสอบจบ",รายงานผลสอบ,บทที่ 1 หน้า 3
36,เอกสารที่ต้องแนบพร้อมการส่งวิทยานิพนธ์ฉบับสมบูรณ์คืออะไร?,บว.29 (เอกสารผลงานตีพิมพ์) และ บว.30 (ขอส่งเล่มสมบูรณ์),"ส่งเล่มสมบูรณ์, เอกสารแนบ, บว.29, บว.30",ส่งเล่มจบ,บทที่ 1 หน้า 4
37,การเย็บเล่มวิทยานิพนธ์ฉบับสมบูรณ์ต้องทำกี่เล่ม?,ชำระค่าทำปกและเย็บเล่ม 2 เล่ม,"จำนวนเล่ม, เย็บเล่ม, ทำปก",เยบเล่ม,บทที่ 1 หน้า 4
38,บัณฑิตวิทยาลัยจะบันทึกข้อมูลวิทยานิพนธ์ลงสื่อใด?,บันทึกลงบนแผ่น CD,"แผ่น CD, บันทึกข้อมูล, ซีดี",CD,บทที่ 1 หน้า 4
39,ส่วนประกอบของวิทยานิพนธ์มีกี่ส่วน อะไรบ้าง?,มี 3 ส่วน คือ ส่วนนำ ส่วนเนื้อหา ส่วนอ้างอิงหรือส่วนท้าย,"ส่วนประกอบ, โครงสร้างวิทยานิพนธ์",ส่วนประกอบวิทยานิพน,บทที่ 2 หน้า 8
40,ปกนอกของวิทยานิพนธ์มีลักษณะอย่างไร?,เป็นปกแข็งสีดำ ตัวอักษรสีทอง ข้อความเหมือนปกใน,"ปกนอก, ปกแข็ง, สีปก",ปกวิจัย,บทที่ 2 หน้า 8
41,สันปกวิทยานิพนธ์ต้องพิมพ์อะไรบ้าง?,พิมพ์ชื่อผู้แต่ง และปีการศึกษาที่สำเร็จการศึกษา,"สันปก, ข้อความสันปก",สันเล่ม,บทที่ 2 หน้า 8
42,การลงนามในใบรับรองวิทยานิพนธ์ต้องใช้หมึกสีอะไร?,ลายมือชื่อจริงด้วยหมึกสีดำเท่านั้น,"ใบรับรอง, สีหมึก, เซ็นชื่อ","หมึกดำ, หมึกสีดำ",บทที่ 2 หน้า 8
43,ปกในของวิทยานิพนธ์ภาษาไทยใช้ฟอนต์ขนาดเท่าไหร่?,ขนาดตัวอักษร 16 พอยต์ ตัวอักษรธรรมดา,"ปกใน, ขนาดฟอนต์, ภาษาไทย",ปกวิจัย,บทที่ 2 หน้า 8
44,ปกในของวิทยานิพนธ์ภาษาอังกฤษใช้ฟอนต์อะไรและขนาดเท่าไหร่?,Times New Roman ขนาด 12 พอยต์ ตัวพิมพ์ใหญ่,"ปกใน, ฟอนต์อังกฤษ, Times New Roman",ปกวิจัย,บทที่ 2 หน้า 8
45,บทคัดย่อต้องเขียนกี่ภาษา?,ถ้าเขียนวิทยานิพนธ์ภาษาไทยต้องมีบทคัดย่อภาษาไทยและอังกฤษ,"บทคัดย่อ, ภาษา, abstract",บดคัดย่อ,บทที่ 2 หน้า 8
46,บทคัดย่อควรมีลักษณะการเขียนอย่างไร?,ควรใช้ประโยคสมบูรณ์ กระชับ ชัดเจน และเป็นการรายงานผลมากกว่าการประเมิน,"การเขียนบทคัดย่อ, ลักษณะบทคัดย่อ",บดคัดย่อ,บทที่ 2 หน้า 9
47,กิตติกรรมประกาศคืออะไร?,ข้อความแสดงความขอบคุณบุคคล สถาบันที่ให้ความช่วยเหลือในการทำวิทยานิพนธ์,"กิตติกรรมประกาศ, ขอบคุณ",กิตติกรรม,บทที่ 2 หน้า 9
48,ความยาวของกิตติกรรมประกาศควรมีกี่หน้า?,ไม่เกิน 1 หน้า,"ความยาวกิตติกรรมประกาศ, จำนวนหน้า",กิตติกรรม,บทที่ 2 หน้า 9
49,"คำว่า ""สารบัญ"" ต้องพิมพ์ด้วยฟอนต์ขนาดเท่าไหร่?",ขนาด 16 พอยต์ ตัวหนา (Bold),"สารบัญ, ขนาดฟอนต์, ตัวหนา",สารบัน,บทที่ 2 หน้า 9
50,หากสารบัญไม่จบในหนึ่งหน้า ต้องทำอย่างไร?,"ให้พิมพ์คำว่า ""สารบัญ (ต่อ)"" กลางหน้ากระดาษหน้าถัดไป","สารบัญต่อ, ขึ้นหน้าใหม่",สารบัน,บทที่ 2 หน้า 9
51,สารบัญภาพคืออะไร?,ส่วนที่แจ้งหมายเลขหน้าของภาพทั้งหมดในวิทยานิพนธ์,"สารบัญภาพ, รูปภาพ",สารบันภาพ,บทที่ 2 หน้า 10
52,ส่วนเนื้อหาวิทยานิพนธ์โดยทั่วไปมีกี่บท?,มี 5 บท,"ส่วนเนื้อหา, จำนวนบท",บทวิจัย,บทที่ 2 หน้า 10
53,บทที่ 1 บทนำ ประกอบด้วยอะไรบ้าง?,"ความเป็นมา, วัตถุประสงค์, สมมติฐาน, ขอบเขต, นิยามศัพท์, ประโยชน์","บทที่ 1, บทนำ, องค์ประกอบ",บดนำ,บทที่ 2 หน้า 10-11
54,การกำหนดขอบเขตของการวิจัยแบ่งเป็นกี่ประเด็น?,3 ประเด็น คือ เนื้อหาสาระ พื้นที่ และเวลา,"ขอบเขตการวิจัย, ประเด็นขอบเขต",ขอบเขต,บทที่ 2 หน้า 11
55,บทที่ 2 เอกสารและงานวิจัยที่เกี่ยวข้อง ประกอบด้วยอะไร?,แนวคิดและทฤษฎีที่เกี่ยวข้อง และงานวิจัยที่เกี่ยวข้อง,"บทที่ 2, วรรณกรรม, ทฤษฎี",เอกสารอ้างอิง,บทที่ 2 หน้า 11-12
56,งานวิจัยที่เกี่ยวข้องที่นำมาอ้างอิงควรมีอายุไม่เกินกี่ปี?,ไม่ควรเกิน 10 ปี (ยกเว้นทฤษฎีที่เป็นจริง),"อายุงานวิจัย, ปีที่พิมพ์, อ้างอิง, 10 ปี",งานวิจัยเก่า,บทที่ 2 หน้า 12
57,บทที่ 3 วิธีดำเนินการวิจัย คืออะไร?,การรายงานแผนการและวิธีดำเนินงาน เช่น ประชากร เครื่องมือ การเก็บข้อมูล,"บทที่ 3, วิธีวิจัย, ระเบียบวิธีวิจัย",วิธีดำเนินงาน,บทที่ 2 หน้า 12
58,บทที่ 4 ผลการวิจัย นำเสนอข้อมูลอย่างไร?,นำเสนอผลการวิเคราะห์ข้อมูลในรูปตารางหรืออื่นๆ ตามความเป็นจริง,"บทที่ 4, ผลการวิจัย, การนำเสนอผล",ผลวิจัย,บทที่ 2 หน้า 13
59,บทที่ 5 ประกอบด้วยหัวข้ออะไรบ้าง?,สรุป อภิปรายผล และข้อเสนอแนะ,"บทที่ 5, สรุปผล, อภิปราย, ข้อเสนอแนะ",บทสรุป,บทที่ 2 หน้า 13
60,ส่วนอ้างอิงหรือส่วนท้ายประกอบด้วยอะไรบ้าง?,บรรณานุกรม ภาคผนวก และประวัติผู้วิจัย,"ส่วนอ้างอิง, ส่วนท้าย, บรรณานุกรม",อ้างอิง,บทที่ 2 หน้า 15
61,กระดาษที่ใช้พิมพ์วิทยานิพนธ์ต้องมีน้ำหนักเท่าไหร่?,80 กรัมต่อตารางเมตร,"น้ำหนักกระดาษ, 80 กรัม, กระดาษพิมพ์","กะดาษ, น้ำหนักกะดาษ, แปดสิบกรัม",บทที่ 3 หน้า 16
62,การเว้นขอบกระดาษด้านซ้ายมือต้องเว้นระยะเท่าไหร่?,1.5 นิ้ว หรือ 3.81 เซนติเมตร,"ขอบซ้าย, กั้นหน้า, 1.5 นิ้ว","ขอบซ้ายมือ, เว้นซ้าย",บทที่ 3 หน้า 16
63,การเว้นขอบกระดาษด้านล่างและขวามือต้องเว้นระยะเท่าไหร่?,1 นิ้ว หรือ 2.54 เซนติเมตร,"ขอบล่าง, ขอบขวา, 1 นิ้ว","ขอบลาง, กั้นหลัง",บทที่ 3 หน้า 16
64,การขึ้นบทใหม่ต้องเว้นหัวกระดาษเท่าไหร่?,2 นิ้ว หรือ 5.08 เซนติเมตร,"ขึ้นบทใหม่, หัวกระดาษ, 2 นิ้ว","หัวกะดาษ, ขึ้นบท",บทที่ 3 หน้า 16
65,วิทยานิพนธ์ภาษาไทยใช้ฟอนต์อะไร?,"AngsanaUPC, BrowalliaUPC, DilleniaUPC, EucrosiaUPC, CordiaUPC หรือ TH SarabunPSK","ฟอนต์ไทย, รูปแบบอักษร, ภาษาไทย","ฟ้อน, ฟ้อนต์, font",บทที่ 3 หน้า 16
66,ตัวอักษรธรรมดาที่เป็นตัวพื้นของการพิมพ์ตลอดทั้งเล่มภาษาไทยใช้ขนาดเท่าไหร่?,16 พอยต์,"ขนาดอักษร, ขนาดฟอนต์, 16 พอยต์","ขนาดฟ้อน, 16 point",บทที่ 3 หน้า 16
67,หัวข้อสำคัญในวิทยานิพนธ์ภาษาไทยใช้ตัวอักษรขนาดเท่าไหร่?,16 พอยต์ ตัวหนา (Bold),"หัวข้อสำคัญ, ตัวหนา, 16 พอยต์","หัวข้อ, ตัวทึบ",บทที่ 3 หน้า 16
68,วิทยานิพนธ์ภาษาอังกฤษใช้ฟอนต์อะไร?,Times New Roman,"ฟอนต์อังกฤษ, Times New Roman","ไทมนิวโรมัน, font อังกฤษ",บทที่ 3 หน้า 16
69,ตัวอักษรธรรมดาที่เป็นตัวพื้นของการพิมพ์ตลอดทั้งเล่มภาษาอังกฤษใช้ขนาดเท่าไหร่?,12 พอยต์,"ขนาดอักษรอังกฤษ, 12 พอยต์","ขนาดฟ้อนอังกฤษ, 12 point",บทที่ 3 หน้า 16
70,บรรทัดระหว่างหัวข้อสำคัญต้องเว้นระยะห่างเท่าไหร่?,1 บรรทัด (Single Line Spacing),"เว้นบรรทัด, ระยะห่าง, 1 บรรทัด","บรรทัด, เว้นช่อง",บทที่ 3 หน้า 16
71,การย่อหน้าต้องเว้นระยะจากขอบซ้ายเท่าไหร่?,1 เซนติเมตร (0.39 นิ้ว),"ย่อหน้า, เว้นระยะ, 1 เซนติเมตร","ย่อหน้ากระดาษ, 1 ซม",บทที่ 3 หน้า 16
72,การเว้นวรรคเล็กมีระยะห่างเท่าไหร่?,เท่ากับความกว้างของพยัญชนะ 1 ตัว (หรือ 1 เคาะ),"เว้นวรรคเล็ก, 1 เคาะ","เว้นวรรค, เคาะเดียว",บทที่ 3 หน้า 16
73,การเว้นวรรคใหญ่มีระยะห่างเท่าไหร่?,เท่ากับความกว้างของพยัญชนะ 2 ตัว (หรือ 2 เคาะ),"เว้นวรรคใหญ่, 2 เคาะ","เว้นวรรค, สองเคาะ",บทที่ 3 หน้า 16
74,การตัดคำเมื่อสิ้นสุดบรรทัดต้องใส่เครื่องหมายอะไร?,ยัติภังค์ (-),"ตัดคำ, ยัติภังค์, ขีด","ตัดคำท้ายบรรทัด, ขีดกลาง",บทที่ 3 หน้า 18
75,ถ้าพิมพ์มาถึงบรรทัดสุดท้ายของหน้ากระดาษ ให้เว้นขอบล่างเท่าไหร่?,1 นิ้ว (2.54 เซนติเมตร),"บรรทัดสุดท้าย, ขอบล่าง, 1 นิ้ว","เว้นล่าง, ขอบลาง",บทที่ 3 หน้า 18
76,การพิมพ์คำศัพท์เทคนิคภาษาต่างประเทศในวิทยานิพนธ์ภาษาไทยต้องทำอย่างไร?,พิมพ์เป็นภาษาไทยตามด้วยวงเล็บภาษาต่างประเทศ,"คำศัพท์เทคนิค, วงเล็บภาษาอังกฤษ","ทับศัพท์, ศัพท์เทคนิค",บทที่ 3 หน้า 18
77,การลำดับหน้าในส่วนนำเรื่องของวิทยานิพนธ์ภาษาไทยใช้สัญลักษณ์อะไร?,"ก, ข, ค...","ลำดับหน้า, ส่วนนำ, ก ข ค","เลขหน้าส่วนนำ, เลขหน้า",บทที่ 3 หน้า 19
78,การลำดับหน้าในส่วนนำเรื่องของวิทยานิพนธ์ภาษาอังกฤษใช้สัญลักษณ์อะไร?,"เลขโรมันตัวเล็ก i, ii, iii...","ลำดับหน้าอังกฤษ, เลขโรมัน","เลขหน้าอังกฤษ, โรมัน",บทที่ 3 หน้า 19
79,การพิมพ์ลำดับหน้าในส่วนนำเรื่องพิมพ์ไว้ตำแหน่งใด?,กลางหน้ากระดาษด้านล่าง ห่างจากขอบล่าง 0.5 นิ้ว,"ตำแหน่งเลขหน้า, กลางล่าง","ตำแหน่งลำดับหน้า, เลขหน้า",บทที่ 3 หน้า 19
80,การลำดับหน้าในส่วนเนื้อหาและอ้างอิงใช้ตัวเลขแบบใด?,"ตัวเลขอารบิค 1, 2, 3...","ลำดับหน้าเนื้อหา, เลขอารบิค","เลขหน้าเนื้อหา, อารบิก",บทที่ 3 หน้า 19
81,ตำแหน่งของเลขหน้าในส่วนเนื้อหาอยู่ตรงไหน?,ริมขอบขวา ห่างจากขอบบนและขวาด้านละ 1 นิ้ว,"ตำแหน่งเลขหน้า, ขอบขวาบน","เลขหน้ามุมขวา, มุมบนขวา",บทที่ 3 หน้า 19
82,หน้าใดบ้างที่ไม่ต้องใส่เลขหน้ากำกับแต่ให้นับจำนวนหน้ารวมไปด้วย?,หน้าแรกของบทที่ขึ้นบทใหม่ หน้าแรกของบรรณานุกรม และหน้าแรกของภาคผนวก,"ไม่ใส่เลขหน้า, หน้าแรกของบท","ไม่ต้องมีเลขหน้า, หน้าขึ้นบท",บทที่ 3 หน้า 19
83,"การพิมพ์คำว่า ""บทที่"" ต้องพิมพ์ไว้ตำแหน่งใด?",ตรงกลางตอนบนสุดของหน้ากระดาษ,"คำว่าบทที่, ตำแหน่งบทที่","พิมบทที่, บทที่",บทที่ 3 หน้า 19
84,การพิมพ์ชื่อบทวิทยานิพนธ์ภาษาไทยใช้ตัวอักษรขนาดเท่าไหร่?,20 พอยต์ ตัวหนา (Bold),"ชื่อบท, ขนาดฟอนต์, 20 พอยต์","ขนาดชื่อบท, ตัวหนา",บทที่ 3 หน้า 19
85,การพิมพ์ชื่อบทวิทยานิพนธ์ภาษาอังกฤษใช้ตัวอักษรขนาดเท่าไหร่?,14 พอยต์ ตัวหนา (Bold),"ชื่อบทอังกฤษ, 14 พอยต์","ชื่อบทภาษาอังกฤษ, 14 point",บทที่ 3 หน้า 19
86,ตารางประกอบด้วยส่วนใดบ้าง?,เลขที่ของตาราง ชื่อของตาราง ส่วนข้อความและที่มาของตาราง,"ส่วนประกอบตาราง, ตาราง","ตารางมีอะไรบ้าง, ส่วนของตาราง",บทที่ 3 หน้า 20
87,"คำว่า ""ตารางที่"" และเลขที่ตารางใช้ตัวอักษรแบบใด?",ตัวหนา (Bold),"ตารางที่, ตัวหนา","ตัวทึบ, ตาราง",บทที่ 3 หน้า 20
88,การพิมพ์ชื่อตารางต้องเว้นระยะห่างจากเลขที่ตารางเท่าไหร่?,2 เคาะ,"ชื่อตาราง, เว้นระยะ, 2 เคาะ","เว้นวรรคชื่อตาราง, 2 เคาะ",บทที่ 3 หน้า 20
89,ถ้าตารางยาวเกิน 1 หน้าต้องทำอย่างไร?,พิมพ์ส่วนที่เหลือในหน้าถัดไป พร้อมพิมพ์เลขที่ตารางตามด้วยคำว่า (ต่อ),"ตารางยาว, ตารางต่อ","ตารางไม่พอ, ตารางหน้าถัดไป",บทที่ 3 หน้า 21
90,ชื่อหรือคำอธิบายภาพประกอบต้องพิมพ์ไว้ตำแหน่งใด?,ใต้ภาพประกอบกลางหน้ากระดาษ,"ชื่อภาพ, คำอธิบายภาพ, ใต้ภาพ","คำบรรยายภาพ, ใต้รูป",บทที่ 3 หน้า 21
91,การอ้างอิงภาพจากแหล่งอื่นต้องทำอย่างไร?,เขียนอ้างอิงแหล่งที่มาไว้ท้ายชื่อหรือคำอธิบายภาพ,"อ้างอิงภาพ, แหล่งที่มาภาพ","ที่มารูปภาพ, อ้างอิงรูป",บทที่ 3 หน้า 21
